Ê±¼ä,Ch0,Ch1,Ch2,Ch3
D:H:M:S,,,,
12:19:47:40,-0.133496,0.000000,-0.000667,0.000000
12:19:47:40,-0.136833,0.003337,-0.001335,0.126583
12:19:47:40,-0.146846,-0.006675,-0.002670,-0.380163
12:19:47:40,-0.153521,-0.010012,-0.006007,-1.140823
12:19:47:40,-0.143508,0.000000,-0.002002,-0.253431
12:19:47:40,-0.140171,0.010012,0.004005,1.011655
12:19:47:40,-0.146846,0.003337,0.002002,0.506117
12:19:47:40,-0.146846,0.006675,0.002670,0.632555
12:19:47:40,-0.153521,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.160195,0.000000,-0.002002,-0.253431
12:19:47:40,-0.160195,-0.003337,-0.002002,-0.126710
12:19:47:40,-0.160195,0.010012,0.002002,0.632555
12:19:47:40,-0.163533,-0.003337,-0.000667,0.000000
12:19:47:40,-0.170208,-0.003337,-0.002670,-0.253431
12:19:47:40,-0.170208,0.003337,0.000000,0.126583
12:19:47:40,-0.183557,0.003337,0.002670,0.632555
