粉尘名称：
粉尘粒径：
粉尘含水量：

初始含氧量：
初始压力：
测试浓度：
点火能量：
反应器体积：0.000Lt1Pmax=0.628149,t=0.274700S(dp/dt)max=698.164321/S  kst=698.164321.m/St2Pmax=0.631058,t=0.274700S(dp/dt)max=815.362646/S  kst=815.362646.m/St3Pmax=0.636721,t=0.324900S(dp/dt)max=947.061579/S  kst=947.061579.m/S时间	t1	t2	t3	t4
D:H:M:S				
01:08:00:00	-0.077905	-0.081913	-0.075389	-0.076358
01:08:00:00	-0.078692	-0.080856	-0.081583	-0.078900
01:08:00:00	-0.077983	-0.081792	-0.083732	-0.076366
01:08:00:00	-0.079713	-0.077152	-0.083471	-0.080260
01:08:00:00	-0.080407	-0.083113	-0.079351	-0.076408
01:08:00:00	-0.074847	-0.082381	-0.075152	-0.082244
01:08:00:00	-0.082928	-0.080458	-0.075267	-0.076438
01:08:00:00	-0.080508	-0.082674	-0.075514	-0.079395
01:08:00:00	-0.075781	-0.077346	-0.082916	-0.081282
01:08:00:00	-0.076319	-0.082511	-0.082208	-0.075633
01:08:00:00	-0.079399	-0.077864	-0.081463	-0.081419
01:08:00:00	-0.081315	-0.084518	-0.076274	-0.082825
01:08:00:00	-0.077941	-0.080093	-0.080621	-0.082377
01:08:00:00	-0.074723	-0.083622	-0.078835	-0.078072
01:08:00:00	-0.082365	-0.081851	-0.083200	-0.083420
01:08:00:00	-0.074917	-0.084562	-0.077379	-0.075814
01:08:00:00	-0.084029	-0.075624	-0.075357	-0.080338
01:08:00:00	-0.080839	-0.077388	-0.083811	-0.077615
01:08:00:00	-0.076193	-0.083156	-0.074886	-0.084162
01:08:00:00	-0.075978	-0.079426	-0.076185	-0.080639
01:08:00:00	-0.082495	-0.081106	-0.079826	-0.076067
01:08:00:00	-0.083876	-0.076162	-0.078153	-0.075581
01:08:00:00	-0.080852	-0.082024	-0.077575	-0.078143
01:08:00:00	-0.077052	-0.076157	-0.075895	-0.077424
01:08:00:00	-0.079324	-0.079982	-0.076333	-0.083197
01:08:00:00	-0.082099	-0.081935	-0.074887	-0.074299
01:08:00:00	-0.074579	-0.075983	-0.078782	-0.078142
01:08:00:00	-0.080475	-0.080301	-0.083737	-0.075779
01:08:00:00	-0.079628	-0.081121	-0.080772	-0.077371
01:08:00:00	-0.074587	-0.084649	-0.083759	-0.074331
01:08:00:00	-0.081999	-0.075820	-0.074797	-0.078817
01:08:00:00	-0.076704	-0.075061	-0.084087	-0.077623
01:08:00:00	-0.082350	-0.079615	-0.081415	-0.081381
01:08:00:00	-0.083746	-0.084791	-0.083641	-0.076732
01:08:00:00	-0.076852	-0.081531	-0.077104	-0.083049
01:08:00:00	-0.077981	-0.081754	-0.081954	-0.080038
01:08:00:00	-0.080618	-0.078861	-0.076949	-0.081415
01:08:00:00	-0.080988	-0.084187	-0.075232	-0.077100
01:08:00:00	-0.076027	-0.084564	-0.077149	-0.077831
01:08:00:00	-0.079003	-0.077033	-0.082588	-0.083817
01:08:00:00	-0.082426	-0.077873	-0.078567	-0.074156
01:08:00:00	-0.079431	-0.078621	-0.083300	-0.077074
01:08:00:00	-0.078361	-0.083157	-0.079067	-0.082677
01:08:00:00	-0.076806	-0.078382	-0.074368	-0.074486
01:08:00:00	-0.081432	-0.077511	-0.081500	-0.083903
01:08:00:00	-0.081199	-0.082860	-0.080984	-0.074590
01:08:00:00	-0.075654	-0.077919	-0.082938	-0.077010
01:08:00:00	-0.082442	-0.078429	-0.081702	-0.076176
01:08:00:00	-0.077255	-0.084680	-0.082101	-0.079305
01:08:00:00	-0.080874	-0.080216	-0.083281	-0.076810
01:08:00:00	-0.075004	-0.084428	-0.076256	-0.076763
01:08:00:00	-0.051639	-0.078129	-0.087932	-0.126405
01:08:00:00	-0.063788	-0.067596	-0.056857	-0.081151
01:08:00:00	-0.078932	-0.090991	-0.048820	-0.081329
01:08:00:00	-0.078959	-0.072995	-0.098947	-0.061665
01:08:00:00	-0.062055	-0.089395	-0.102298	-0.084921
01:08:00:00	-0.099945	-0.073571	-0.058744	-0.046445
01:08:00:00	-0.033528	-0.100483	-0.110961	-0.085423
01:08:00:00	-0.085725	-0.090238	-0.077854	-0.058295
01:08:00:00	-0.112683	-0.106476	-0.094622	-0.058968
01:08:00:00	-0.054991	-0.078989	-0.076176	-0.081529
01:08:00:00	-0.077378	-0.081741	-0.079724	-0.083757
01:08:00:00	-0.082657	-0.081903	-0.080481	-0.083029
01:08:00:00	-0.077171	-0.078872	-0.078625	-0.075922
01:08:00:00	-0.081702	-0.074966	-0.079179	-0.077664
01:08:00:00	-0.084003	-0.083955	-0.075706	-0.077608
01:08:00:00	-0.075502	-0.083197	-0.078445	-0.076732
01:08:00:00	-0.081891	-0.081391	-0.082436	-0.074817
01:08:00:00	-0.076631	-0.077487	-0.079365	-0.080116
01:08:00:00	-0.082509	-0.081500	-0.079570	-0.080179
01:08:00:00	-0.075667	-0.081236	-0.079323	-0.081277
01:08:00:00	-0.081482	-0.080782	-0.079177	-0.082739
01:08:00:00	-0.083409	-0.082747	-0.075666	-0.079814
01:08:00:00	-0.078386	-0.079446	-0.077557	-0.083796
01:08:00:00	-0.083060	-0.083150	-0.077062	-0.081319
01:08:00:00	-0.081757	-0.077726	-0.083066	-0.075095
01:08:00:00	-0.075392	-0.083756	-0.083330	-0.083156
01:08:00:00	-0.077700	-0.083054	-0.078830	-0.079587
01:08:00:00	-0.080738	-0.082609	-0.080904	-0.081688
01:08:00:00	-0.076037	-0.077734	-0.078352	-0.078496
01:08:00:00	-0.082018	-0.078877	-0.083040	-0.077653
01:08:00:00	-0.076248	-0.083768	-0.081804	-0.077818
01:08:00:00	-0.078228	-0.076490	-0.078974	-0.078529
01:08:00:00	-0.075479	-0.084485	-0.075176	-0.075993
01:08:00:00	-0.077807	-0.080934	-0.079363	-0.074601
01:08:00:00	-0.077983	-0.080011	-0.083224	-0.078454
01:08:00:00	-0.077550	-0.083777	-0.075164	-0.074595
01:08:00:00	-0.077577	-0.079558	-0.078566	-0.080616
01:08:00:00	-0.077793	-0.080124	-0.083692	-0.074677
01:08:00:00	-0.082925	-0.084065	-0.078707	-0.080102
01:08:00:00	-0.080739	-0.080059	-0.082437	-0.078525
01:08:00:00	-0.081382	-0.081694	-0.083291	-0.080947
01:08:00:00	-0.080509	-0.080043	-0.075463	-0.083372
01:08:00:00	-0.079814	-0.077581	-0.078674	-0.081881
01:08:00:00	-0.078661	-0.079395	-0.076371	-0.080281
01:08:00:00	-0.077039	-0.082039	-0.078939	-0.076522
01:08:00:00	-0.079642	-0.083118	-0.078010	-0.080007
01:08:00:00	-0.081181	-0.078850	-0.081730	-0.080549
01:08:00:00	-0.076279	-0.080575	-0.081895	-0.076459
01:08:00:00	-0.077192	-0.077536	-0.079347	-0.077535
01:08:00:00	-0.083248	-0.081929	-0.078819	-0.082524
01:08:00:00	-0.082648	-0.078952	-0.075946	-0.080807
01:08:00:00	-0.077507	-0.080535	-0.077242	-0.076401
01:08:00:00	-0.082446	-0.082622	-0.080562	-0.078270
01:08:00:00	-0.077588	-0.077498	-0.076809	-0.082873
01:08:00:00	-0.083000	-0.078218	-0.077658	-0.077021
01:08:00:00	-0.074292	-0.079352	-0.075745	-0.083230
01:08:00:00	-0.077499	-0.079477	-0.081816	-0.077709
01:08:00:00	-0.074759	-0.082186	-0.076319	-0.083220
01:08:00:00	-0.077691	-0.074992	-0.074512	-0.077047
01:08:00:00	-0.076584	-0.079254	-0.079646	-0.075888
01:08:00:00	-0.077265	-0.084102	-0.075947	-0.076800
01:08:00:00	-0.078453	-0.076575	-0.074692	-0.075476
01:08:00:00	-0.076039	-0.083091	-0.074622	-0.078591
01:08:00:00	-0.079991	-0.079328	-0.075129	-0.078721
01:08:00:00	-0.079219	-0.082653	-0.083027	-0.077916
01:08:00:00	-0.079724	-0.076457	-0.080517	-0.076828
01:08:00:00	-0.077740	-0.077891	-0.082310	-0.079794
01:08:00:00	-0.078692	-0.081005	-0.075315	-0.075129
01:08:00:00	-0.079694	-0.080909	-0.077182	-0.076257
01:08:00:00	-0.075154	-0.084524	-0.082465	-0.078255
01:08:00:00	-0.077288	-0.078009	-0.077419	-0.079247
01:08:00:00	-0.075594	-0.083706	-0.082662	-0.079531
01:08:00:00	-0.075485	-0.082096	-0.076790	-0.083791
01:08:00:00	-0.080675	-0.078070	-0.075379	-0.077264
01:08:00:00	-0.078480	-0.075411	-0.081590	-0.077256
01:08:00:00	-0.074026	-0.080772	-0.076284	-0.078822
01:08:00:00	-0.078659	-0.083387	-0.083418	-0.080702
01:08:00:00	-0.077532	-0.082839	-0.074671	-0.082660
01:08:00:00	-0.080343	-0.081467	-0.076085	-0.081754
01:08:00:00	-0.080955	-0.081163	-0.078223	-0.074059
01:08:00:00	-0.078969	-0.084241	-0.078007	-0.075358
01:08:00:00	-0.079861	-0.075664	-0.082498	-0.081082
01:08:00:00	-0.075254	-0.084172	-0.082920	-0.079263
01:08:00:00	-0.077385	-0.083389	-0.083034	-0.079588
01:08:00:00	-0.076704	-0.079136	-0.075084	-0.075902
01:08:00:00	-0.083403	-0.074555	-0.077478	-0.076344
01:08:00:00	-0.079582	-0.075631	-0.076441	-0.083685
01:08:00:00	-0.076601	-0.075400	-0.079391	-0.075682
01:08:00:00	-0.078900	-0.080513	-0.075829	-0.082652
01:08:00:00	-0.078527	-0.076940	-0.076262	-0.079557
01:08:00:00	-0.075208	-0.076035	-0.075646	-0.075203
01:08:00:00	-0.078974	-0.077633	-0.077476	-0.073847
01:08:00:00	-0.083288	-0.080387	-0.078935	-0.074555
01:08:00:00	-0.081864	-0.079052	-0.079321	-0.079648
01:08:00:00	-0.074399	-0.077358	-0.082482	-0.077752
01:08:00:00	-0.080861	-0.079460	-0.074780	-0.078291
01:08:00:00	-0.076302	-0.080491	-0.080369	-0.080005
01:08:00:00	-0.075088	-0.077435	-0.077194	-0.078807
01:08:00:00	-0.076550	-0.076641	-0.081481	-0.082598
01:08:00:00	-0.076872	-0.082195	-0.078350	-0.083123
01:08:00:00	-0.082281	-0.084310	-0.073914	-0.076061
01:08:00:00	-0.074044	-0.083164	-0.080744	-0.078750
01:08:00:00	-0.079551	-0.078361	-0.078876	-0.080993
01:08:00:00	-0.074542	-0.077632	-0.078640	-0.079974
01:08:00:00	-0.078329	-0.077414	-0.082956	-0.080558
01:08:00:00	-0.081179	-0.084180	-0.075351	-0.077051
01:08:00:00	-0.078718	-0.074717	-0.074235	-0.078005
01:08:00:00	-0.081676	-0.075478	-0.079726	-0.078360
01:08:00:00	-0.079564	-0.083608	-0.077396	-0.076910
01:08:00:00	-0.078165	-0.083891	-0.073918	-0.082324
01:08:00:00	-0.076566	-0.078644	-0.074153	-0.074339
01:08:00:00	-0.079368	-0.080334	-0.081353	-0.080793
01:08:00:00	-0.074710	-0.083423	-0.076120	-0.078137
01:08:00:00	-0.076093	-0.076422	-0.079006	-0.080603
01:08:00:00	-0.076975	-0.082817	-0.075409	-0.075332
01:08:00:00	-0.078144	-0.078238	-0.079549	-0.081544
01:08:00:00	-0.075475	-0.075124	-0.074670	-0.080465
01:08:00:00	-0.080602	-0.078617	-0.076198	-0.078497
01:08:00:00	-0.075440	-0.080213	-0.078064	-0.079136
01:08:00:00	-0.075534	-0.078224	-0.079935	-0.081007
01:08:00:00	-0.081423	-0.084316	-0.073728	-0.077032
01:08:00:00	-0.075129	-0.083382	-0.082289	-0.075736
01:08:00:00	-0.078764	-0.081097	-0.074352	-0.074513
01:08:00:00	-0.073667	-0.079936	-0.079618	-0.081942
01:08:00:00	-0.083281	-0.079544	-0.079925	-0.074144
01:08:00:00	-0.078878	-0.077291	-0.081855	-0.079126
01:08:00:00	-0.074796	-0.080889	-0.083545	-0.078640
01:08:00:00	-0.077943	-0.084013	-0.076092	-0.080179
01:08:00:00	-0.079858	-0.077598	-0.078491	-0.083418
01:08:00:00	-0.074991	-0.075260	-0.080357	-0.077165
01:08:00:00	-0.074688	-0.076444	-0.074325	-0.079360
01:08:00:00	-0.079991	-0.082329	-0.075133	-0.077310
01:08:00:00	-0.083142	-0.078464	-0.077495	-0.074855
01:08:00:00	-0.074200	-0.074459	-0.082782	-0.076360
01:08:00:00	-0.076772	-0.082957	-0.082959	-0.075259
01:08:00:00	-0.076737	-0.080652	-0.075947	-0.082119
01:08:00:00	-0.080559	-0.083626	-0.074327	-0.077424
01:08:00:00	-0.077539	-0.079100	-0.073714	-0.077503
01:08:00:00	-0.073979	-0.079135	-0.076179	-0.079464
01:08:00:00	-0.081680	-0.082611	-0.074621	-0.073984
01:08:00:00	-0.078693	-0.083299	-0.083276	-0.083493
01:08:00:00	-0.076531	-0.077289	-0.082171	-0.079658
01:08:00:00	-0.079112	-0.079060	-0.073807	-0.079401
01:08:00:00	-0.077749	-0.081309	-0.074124	-0.075567
01:08:00:00	-0.082648	-0.081520	-0.078456	-0.081571
01:08:00:00	-0.082830	-0.076767	-0.082294	-0.078431
01:08:00:00	-0.074807	-0.078003	-0.079361	-0.075125
01:08:00:00	-0.077078	-0.075004	-0.083205	-0.080488
01:08:00:00	-0.077625	-0.080642	-0.078524	-0.077659
01:08:00:00	-0.082393	-0.083221	-0.078818	-0.073996
01:08:00:00	-0.075414	-0.078332	-0.081861	-0.074253
01:08:00:00	-0.083470	-0.079448	-0.081562	-0.081981
01:08:00:00	-0.082203	-0.079173	-0.078608	-0.078550
01:08:00:00	-0.080631	-0.084134	-0.075827	-0.077564
01:08:00:00	-0.073858	-0.082746	-0.075635	-0.078036
01:08:00:00	-0.076673	-0.075227	-0.075740	-0.082574
01:08:00:00	-0.082555	-0.077528	-0.073959	-0.076852
01:08:00:00	-0.075295	-0.077769	-0.074110	-0.079203
01:08:00:00	-0.082353	-0.079784	-0.074422	-0.083371
01:08:00:00	-0.081429	-0.083901	-0.080544	-0.077352
01:08:00:00	-0.077859	-0.080070	-0.075180	-0.080872
01:08:00:00	-0.083125	-0.084184	-0.078010	-0.081141
01:08:00:00	-0.082052	-0.083880	-0.073898	-0.079468
01:08:00:00	-0.073731	-0.077932	-0.074073	-0.078125
01:08:00:00	-0.075148	-0.077857	-0.075030	-0.076981
01:08:00:00	-0.077998	-0.081384	-0.082413	-0.077296
01:08:00:00	-0.075544	-0.077120	-0.083334	-0.077278
01:08:00:00	-0.077740	-0.075439	-0.076936	-0.081138
01:08:00:00	-0.079984	-0.079633	-0.081850	-0.078958
01:08:00:00	-0.076005	-0.079973	-0.076800	-0.079896
01:08:00:00	-0.080992	-0.076594	-0.083295	-0.077888
